RXCUI|INGREDIENT|ING_RXCUI
1370750|Hydrocortisone|5492
1370752|Hydrocortisone|5492
1370754|Hydrocortisone|5492
1370758|Hydrocortisone|5492
1370760|Hydrocortisone|5492
1370763|Hydrocortisone|5492
1370765|Hydrocortisone|5492
1370767|Hydrocortisone|5492
1370768|Hydrocortisone|5492
1370770|Hydrocortisone|5492
1370772|Hydrocortisone|5492
1370826|Benzethonium|1390
1370957|Menthol|6750
1370963|Pseudoephedrine|8896
1370963|dexbrompheniramine|22696
1370976|Ospemifene|1370971
1370982|Ospemifene|1370971
1371196|Dextromethorphan|3289
1371196|Doxylamine|3642
1371202|Dextromethorphan|3289
1371202|Doxylamine|3642
1371295|Benzalkonium|1378
1371295|Benzocaine|1399
1371298|Benzalkonium|1378
1371298|Benzocaine|1399
1371412|ubidecarenone|21406
1371459|Lutein|11359
1371459|zeaxanthin|39918
1371459|Omega-3 Acid Ethyl Esters (USP)|484348
1371985|ubidecarenone|21406
1372265|Chlorpheniramine|2400
1372265|Hydrocodone|5489
1372270|Iron Carbonyl|262150
1372298|Mineral Oil|6972
1372298|Petrolatum|8091
1372298|Phenylephrine|8163
1372312|Acetaminophen|161
1372312|Chlorpheniramine|2400
1372312|Phenylephrine|8163
1372449|Benzocaine|1399
1372451|Dextromethorphan|3289
1372451|Guaifenesin|5032
1372451|Phenylephrine|8163
1372459|Dextromethorphan|3289
1372459|Guaifenesin|5032
1372459|Phenylephrine|8163
1372464|Capsaicin|1992
1372464|Menthol|6750
1372464|methyl salicylate|29787
1372483|ferrous gluconate|24942
1372488|Lanolin|6227
1372490|Benzethonium|1390
1372529|Chondroitin Sulfates|2473
1372529|Glucosamine|4845
1372529|methylsulfonylmethane|23247
1372560|Capsaicin|1992
1372560|Menthol|6750
1372560|methyl salicylate|29787
1372569|Lactobacillus acidophilus|6205
1372578|linoleate|70611
1372578|Evening primrose oil|203219
1372652|Dextromethorphan|3289
1372652|Guaifenesin|5032
1372652|Phenylephrine|8163
1372681|Cinnamon Bark|477053
1372873|Chlorpheniramine|2400
1372873|Hydrocodone|5489
1372891|Lidocaine|6387
1372999|Cefixime|25033
1373008|Mecamylamine|6673
1373014|Cefixime|25033
1373016|Cefixime|25033
1373034|Naproxen|7258
1373034|Pseudoephedrine|8896
1373045|Dextromethorphan|3289
1373128|Dextromethorphan|3289
1373130|Lidocaine|6387
1373130|Menthol|6750
1373136|Lidocaine|6387
1373136|Menthol|6750
1373137|Lidocaine|6387
1373137|Menthol|6750
1373142|Lidocaine|6387
1373142|Menthol|6750
1373219|Camphor|1952
1373219|Menthol|6750
1373222|Camphor|1952
1373222|Menthol|6750
1373226|Petrolatum|8091
1373249|Menthol|6750
1373249|Zinc Oxide|11423
1373249|Calamine|106212
1373325|Amylases|743
1373325|Lipase|6406
1373325|Endopeptidases|8031
1373327|Amylases|743
1373327|Lipase|6406
1373327|Endopeptidases|8031
1373333|Isotretinoin|6064
1373335|Isotretinoin|6064
1373337|Isotretinoin|6064
1373463|canagliflozin|1373458
1373469|canagliflozin|1373458
1373471|canagliflozin|1373458
1373473|canagliflozin|1373458
1373483|dimethyl fumarate|1373478
1373489|dimethyl fumarate|1373478
1373491|dimethyl fumarate|1373478
1373493|dimethyl fumarate|1373478
1373497|dimethyl fumarate|1373478
1373498|dimethyl fumarate|1373478
1373501|Ethinyl Estradiol|4124
1373501|Levonorgestrel|6373
1373502|Ethinyl Estradiol|4124
1373502|Levonorgestrel|6373
1373503|Ethinyl Estradiol|4124
1373503|Levonorgestrel|6373
1373504|Ethinyl Estradiol|4124
1373504|Levonorgestrel|6373
1373745|Nevirapine|53654
1373747|Nevirapine|53654
1374380|Docosahexaenoate|73
1374396|bismuth subsalicylate|19478
1374397|bismuth subsalicylate|19478
1374569|Tobramycin|10627
1374570|Tobramycin|10627
1374573|Tobramycin|10627
1374574|Tobramycin|10627
1374718|Naphazoline|7247
1374718|Polysorbate 80|8560
1374718|hypromellose|27334
1374718|Zinc Sulfate|39954
1374726|Carboxymethylcellulose|2062
1374726|Glycerin|4910
1374744|Lactobacillus rhamnosus GG|602811
1374770|carbinoxamine|20220
1374776|carbinoxamine|20220
1374783|pramoxine|34347
1374842|Neomycin|7299
1374851|Benzalkonium|1378
1374851|Camphor|1952
1375379|Ascorbic Acid|1151
1375379|Iron Carbonyl|262150
1375917|bromfenac|19737
1375922|bromfenac|19737
1375932|Acetaminophen|161
1375932|Diphenhydramine|3498
1375932|Phenylephrine|8163
1375942|Bifidobacterium Infantis|100213
1375948|Doxylamine|3642
1375948|pyridoxine|684879
1375954|Doxylamine|3642
1375954|pyridoxine|684879
1375960|Cholecalciferol|2418
1375960|Glucose|4850
1375985|Cholecalciferol|2418
1375985|Glucose|4850
1376076|plant stanol ester|259320
1376084|cabazitaxel|996051
1376336|prednisolone|8638
1376338|Desoximetasone|3255
1376340|Desoximetasone|3255
1376496|Menthol|6750
1376496|methyl salicylate|29787
141850|Desoximetasone|3255
141859|Acyclovir|281
141860|Lindane|1388
141868|Capsaicin|1992
141927|Alprazolam|596
141928|Alprazolam|596
141935|Haloperidol|5093
141963|Azithromycin|18631
141990|Ascorbic Acid|1151
141991|Ascorbic Acid|1151
142002|hypromellose|27334
142004|Polyvinyl Alcohol|8570
142034|Benzoyl Peroxide|1418
142046|Metronidazole|6922
142085|Calcium Gluconate|1908
1420992|Allantoin|508
1420992|Diphenhydramine|3498
1420997|Allantoin|508
1420997|Diphenhydramine|3498
1421024|Menthol|6750
1421024|methyl salicylate|29787
1421027|Menthol|6750
1421027|methyl salicylate|29787
142113|Mesna|44
1421451|brimonidine|134615
1421451|brinzolamide|194881
1421456|brimonidine|134615
1421456|brinzolamide|194881
1421459|Ethinyl Estradiol|4124
1421459|Norethindrone|7514
1421460|Ferrous fumarate|24941
1421461|Ethinyl Estradiol|4124
1421461|Norethindrone|7514
1421461|Ferrous fumarate|24941
1421467|Cysteamine|3022
1421473|Cysteamine|3022
1421475|Cysteamine|3022
1421477|Cysteamine|3022
1421893|Lidocaine|6387
1421983|Dextromethorphan|3289
1421983|Guaifenesin|5032
1421983|Pseudoephedrine|8896
1421985|Chlorpheniramine|2400
1421985|Dextromethorphan|3289
1421987|Chlorpheniramine|2400
1421987|Dextromethorphan|3289
1422078|Lidocaine|6387
1422080|Lidocaine|6387
1422081|Ethinyl Estradiol|4124
1422081|Desogestrel|22656
1422103|Lidocaine|6387
1422107|Lidocaine|6387
1422172|Lidocaine|6387
1422546|Lidocaine|6387
1422561|Capsaicin|1992
1422561|Lidocaine|6387
1422561|Menthol|6750
1422561|methyl salicylate|29787
1422563|Capsaicin|1992
1422563|Lidocaine|6387
1422563|Menthol|6750
1422563|methyl salicylate|29787
1422896|Norethindrone|7514
1422935|Dextromethorphan|3289
1423080|Doxycycline|3640
1423082|Doxycycline|3640
1423123|Ethinyl Estradiol|4124
1423123|Levonorgestrel|6373
1423307|Dextromethorphan|3289
1423307|Pyrilamine|9009
1423393|Cholecalciferol|2418
1423393|Glucose|4850
1423410|Camphor|1952
1423410|Tannic Acid|10328
1423410|Zinc Oxide|11423
1423410|phenol|33290
1423415|Camphor|1952
1423415|Tannic Acid|10328
1423415|Zinc Oxide|11423
1423415|phenol|33290
1423423|Vitamin B 12|11248
1423662|Acyclovir|281
1423691|Melatonin|6711
1423702|Brompheniramine|1767
1423702|Dextromethorphan|3289
1423702|Phenylephrine|8163
1423711|Chlorpheniramine|2400
1423711|Dextromethorphan|3289
1423711|Pseudoephedrine|8896
1423767|Nimodipine|7426
1423773|Nimodipine|7426
1423807|GLYCERYL PHOSPHATE|1423803
1423812|GLYCERYL PHOSPHATE|1423803
1423967|Clemastine|2578
1423977|Camphor|1952
1423977|Menthol|6750
1423977|methyl salicylate|29787
1424037|Benzalkonium|1378
1424037|Lidocaine|6387
1424214|RADIUM CHLORIDE RA-223|1424174
1424219|RADIUM CHLORIDE RA-223|1424174
1424273|Ascorbic Acid|1151
1424273|Iron Carbonyl|262150
1424281|Vitamin E|11256
1424287|Benzethonium|1390
1424289|dimethicone|324072
1424294|dimethicone|324072
1424446|Dextromethorphan|3289
1424446|Guaifenesin|5032
1424455|Tretinoin|10753
1424457|Tretinoin|10753
1424551|Acetaminophen|161
1424551|Dextromethorphan|3289
1424551|Diphenhydramine|3498
1424551|Guaifenesin|5032
1424551|Phenylephrine|8163
1424612|Salicylic Acid|9525
1424836|5-Hydroxytryptophan|94
1424849|Dextromethorphan|3289
1424849|Guaifenesin|5032
1424849|Pseudoephedrine|8896
1424850|Acetaminophen|161
1424850|Dextromethorphan|3289
1424850|Diphenhydramine|3498
1424850|Guaifenesin|5032
1424850|Phenylephrine|8163
1424867|ALPHA-D-GALACTOSIDASE ENZYME|259351
1424872|Chlorpheniramine|2400
1424872|Phenylephrine|8163
1424872|chlophedianol|21254
1424889|fluticasone|41126
1424889|vilanterol|1424884
1424899|fluticasone|41126
1424899|vilanterol|1424884
1424902|Ascorbic Acid|1151
1424916|dabrafenib|1424911
1424918|dabrafenib|1424911
1424919|Dextromethorphan|3289
1424919|Guaifenesin|5032
1424919|Pseudoephedrine|8896
1425090|Glucosamine|4845
1425090|methylsulfonylmethane|23247
1425104|trametinib|1425099
1425110|trametinib|1425099
1425116|trametinib|1425099
1425118|trametinib|1425099
1425120|Melatonin|6711
1425181|Calcium Carbonate|1897
1425228|dabrafenib|1424911
1425230|dabrafenib|1424911
1425325|Camphor|1952
1425325|Menthol|6750
1425325|methyl salicylate|29787
1425337|Dextroamphetamine|3288
1425339|Dextroamphetamine|3288
1425510|Capsaicin|1992
1425510|Lidocaine|6387
1425510|Menthol|6750
1425510|methyl salicylate|29787
1425847|Dextroamphetamine|3288
1425854|Dextroamphetamine|3288
1425912|Menthol|6750
1425912|Zinc Oxide|11423
1425912|Calamine|106212
1426251|Dextroamphetamine|3288
1426253|Dextroamphetamine|3288
1426288|Ethinyl Estradiol|4124
1426288|Norethindrone|7514
1426293|Benzocaine|1399
1426579|Guaifenesin|5032
1426579|Pseudoephedrine|8896
1426600|Ethinyl Estradiol|4124
1426600|Norethindrone|7514
1426600|Ferrous fumarate|24941
1426601|Ethinyl Estradiol|4124
1426601|Norethindrone|7514
1426601|Ferrous fumarate|24941
1426660|Dextromethorphan|3289
1426660|Guaifenesin|5032
1426660|Pseudoephedrine|8896
1426687|Benzocaine|1399
1426687|Cetylpyridinium|2286
1426687|Menthol|6750
1426694|Chondroitin Sulfates|2473
1426694|Glucosamine|4845
1426694|methylsulfonylmethane|23247
1426694|hyaluronate|62372
1426827|Loperamide|6468
1426827|Simethicone|9796
1426881|Levonorgestrel|6373
1427300|Ethinyl Estradiol|4124
1427300|Norethindrone|7514
1427301|Ethinyl Estradiol|4124
1427301|Norethindrone|7514
1427392|Dextromethorphan|3289
1427392|Phenylephrine|8163
1427392|thonzylamine|1360721
1427404|Mineral Oil|6972
1427404|Petrolatum|8091
1427404|Phenylephrine|8163
1427998|Dextromethorphan|3289
1427998|Guaifenesin|5032
1427998|Pseudoephedrine|8896
1428138|chlophedianol|21254
1428138|thonzylamine|1360721
1428622|Acetaminophen|161
1428622|butalbital|19860
1428828|Ascorbic Acid|1151
1428828|Folic Acid|4511
1428828|Niacin|7393
1428828|Riboflavin|9346
1428828|Sodium Fluoride|9873
1428828|Thiamine|10454
1428828|Vitamin A|11246
1428828|Vitamin B 12|11248
1428828|Vitamin D|11253
1428828|Vitamin E|11256
1428828|Vitamin B6|42954
1428830|Bacitracin|1291
1428880|Acetaminophen|161
1428880|Dextromethorphan|3289
1428880|Diphenhydramine|3498
1428880|Phenylephrine|8163
1428927|Triprolidine|10849
1428933|Ethinyl Estradiol|4124
1428933|Levonorgestrel|6373
1428947|lenalidomide|342369
1428948|Lidocaine|6387
1428948|Menthol|6750
1428953|Urea|11002
1428953|Alpha Hydroxy Acids|236797
1428958|Urea|11002
1428958|Alpha Hydroxy Acids|236797
1429282|Neostigmine|7315
1429284|Neostigmine|7315
1429345|Chlorpheniramine|2400
1429345|Phenylephrine|8163
1429360|Pyrilamine|9009
1429360|chlophedianol|21254
1429362|Dextromethorphan|3289
1429362|Guaifenesin|5032
1429362|Phenylephrine|8163
1429367|lenalidomide|342369
1429409|Pyrilamine|9009
1429409|chlophedianol|21254
1429439|Triprolidine|10849
1429893|Menthol|6750
1430071|Chondroitin Sulfates|2473
1430071|Glucosamine|4845
1430122|Paroxetine|32937
1430128|Paroxetine|32937
1430169|Pseudoephedrine|8896
1430287|Chondroitin Sulfates|2473
1430287|Glucosamine|4845
1430287|methylsulfonylmethane|23247
1430298|Vitamin K 2|42781
1430383|Norethindrone|7514
1430404|Dextromethorphan|3289
1430404|Guaifenesin|5032
1430404|Pseudoephedrine|8896
1430446|Afatinib|1430438
1430449|Afatinib|1430438
1430451|Afatinib|1430438
1430453|Afatinib|1430438
1430455|Afatinib|1430438
1430457|Afatinib|1430438
1430458|Menthol|6750
1430522|Brompheniramine|1767
1430522|Pseudoephedrine|8896
1431076|Buprenorphine|1819
1431076|Naloxone|7242
1431083|Buprenorphine|1819
1431083|Naloxone|7242
1431102|Buprenorphine|1819
1431102|Naloxone|7242
1431104|Buprenorphine|1819
1431104|Naloxone|7242
1431235|lurasidone|1040028
1431237|lurasidone|1040028
1431245|Acetaminophen|161
1431245|Dextromethorphan|3289
1431245|Doxylamine|3642
1431245|Phenylephrine|8163
1431286|Acetaminophen|161
1431286|Caffeine|1886
1431286|Codeine|2670
1431286|butalbital|19860
1431642|golimumab|819300
1431647|golimumab|819300
1431703|Menthol|6750
1431971|Tacrolimus|42316
1431977|Tacrolimus|42316
1431980|Tacrolimus|42316
1431982|Tacrolimus|42316
1431985|Tacrolimus|42316
1431987|Tacrolimus|42316
1432261|Acetaminophen|161
1432261|Caffeine|1886
1432261|butalbital|19860
1432283|Helium|5140
1432283|Nitrogen|7456
1432283|Oxygen|7806
1432465|Calcium Carbonate|1897
1432482|Lidocaine|6387
1432487|Lidocaine|6387
1432488|Acetaminophen|161
1432488|Dextromethorphan|3289
1432488|Guaifenesin|5032
1432488|Phenylephrine|8163
1432507|Camphor|1952
1432507|Menthol|6750
1432507|Eucalyptus oil|59087
1432541|Capsaicin|1992
1432541|Lidocaine|6387
1432541|Menthol|6750
1432541|methyl salicylate|29787
1432969|Buprenorphine|1819
1432971|Buprenorphine|1819
1432986|Cholecalciferol|2418
1432986|Inulin|5924
1433217|levomilnacipran|1433212
1433223|levomilnacipran|1433212
1433227|levomilnacipran|1433212
1433229|levomilnacipran|1433212
1433233|levomilnacipran|1433212
1433235|levomilnacipran|1433212
1433239|levomilnacipran|1433212
1433241|levomilnacipran|1433212
1433249|levomilnacipran|1433212
1433250|levomilnacipran|1433212
1433251|Hydromorphone|3423
1433734|naftifine|31476
1433736|naftifine|31476
1433743|Petrolatum|8091
1433768|Filgrastim|68442
1433771|Filgrastim|68442
1433802|Acetaminophen|161
1433802|Caffeine|1886
1433802|Codeine|2670
1433802|butalbital|19860
1433873|dolutegravir|1433868
1433879|dolutegravir|1433868
1433915|trolamine salicylate|38866
1435083|Benzocaine|1399
1435083|Docusate|82003
1435115|Teriparatide|32915
1435117|Teriparatide|32915
1435143|Dextromethorphan|3289
1435143|Guaifenesin|5032
1435143|Pseudoephedrine|8896
1435148|Carboxymethylcellulose|2062
1435169|ferric carboxymaltose|1433693
1435174|ferric carboxymaltose|1433693
1435257|Benzocaine|1399
1435257|Camphor|1952
1435257|phenol|33290
1435262|Benzocaine|1399
1435262|Camphor|1952
1435262|phenol|33290
1435480|Desvenlafaxine|734064
1435483|Desvenlafaxine|734064
1435490|Benzocaine|1399
1435516|Stannous Fluoride|10030
1435624|Enalapril|3827
1435630|Enalapril|3827
1435853|Acetaminophen|161
1435853|Caffeine|1886
1435853|isometheptene|27946
1435855|Acetaminophen|161
1435855|Caffeine|1886
1435855|isometheptene|27946
1435889|Capsaicin|1992
1435889|Menthol|6750
1435889|methyl salicylate|29787
1435917|Cholecalciferol|2418
1436239|topiramate|38404
1436245|topiramate|38404
1436369|Capsaicin|1992
1436369|Menthol|6750
1436369|methyl salicylate|29787
1436933|Urea|11002
1436938|Urea|11002
1436940|selenium sulfide|36345
1436945|selenium sulfide|36345
1436947|Iodoquinol|3435
1436947|Hydrocortisone|5492
1436949|Iodoquinol|3435
1436949|Hydrocortisone|5492
1437274|thyroid (USP)|10572
1437276|thyroid (USP)|10572
1437278|topiramate|38404
1437280|topiramate|38404
1437283|topiramate|38404
1437285|topiramate|38404
1437288|topiramate|38404
1437290|topiramate|38404
1437489|rabeprazole|114979
1437492|rabeprazole|114979
1437494|Ammonia|1299884
1437685|thyroid (USP)|10572
1437687|thyroid (USP)|10572
1437702|Albuterol|435
1437702|Ipratropium|7213
1437704|Albuterol|435
1437704|Ipratropium|7213
1437707|brimonidine|134615
1437709|brimonidine|134615
1437711|Mechlorethamine|6674
1437713|Mechlorethamine|6674
1437739|Melatonin|6711
1437774|Diphenhydramine|3498
1437782|Acetaminophen|161
1437782|dichloralphenazone|22892
1437782|isometheptene|27946
1437793|Miconazole|6932
1437837|thyroid (USP)|10572
1437841|thyroid (USP)|10572
1437853|Lutein|11359
1437853|zeaxanthin|39918
1437911|meningococcal group C polysaccharide|29503
1437911|MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y|314725
1437911|Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine|798279
1437966|Chlorhexidine|2358
1437968|Cyclophosphamide|3002
1437969|Cyclophosphamide|3002
1437975|glycopyrronium|1546438
1438105|Calcium Carbonate|1897
1438105|Magnesium Hydroxide|6581
1438107|Calcium Carbonate|1897
1438107|Magnesium Hydroxide|6581
1438497|Phenylephrine|8163
1438497|cocoa butter|21389
1438502|Phenylephrine|8163
1438502|cocoa butter|21389
1438778|Ethinyl Estradiol|4124
1438778|Desogestrel|22656
1439775|Acetaminophen|161
1439775|Chlorpheniramine|2400
1439779|Benzoyl Peroxide|1418
1439784|Benzoyl Peroxide|1418
1439786|Benzoyl Peroxide|1418
1439788|Benzoyl Peroxide|1418
1439808|vortioxetine|1455099
1439810|vortioxetine|1455099
1439812|vortioxetine|1455099
1439821|riociguat|1439816
1439823|riociguat|1439816
1439831|riociguat|1439816
1439833|riociguat|1439816
1439837|riociguat|1439816
1439894|riociguat|1439816
1439896|riociguat|1439816
1439899|riociguat|1439816
1439901|riociguat|1439816
1439903|riociguat|1439816
1439969|Camphor|1952
1439969|Menthol|6750
1439974|Camphor|1952
1439974|Menthol|6750
1439992|Dextromethorphan|3289
1439992|Guaifenesin|5032
1439997|Menthol|6750
1440002|Miconazole|6932
1440003|Codeine|2670
1440003|Phenylephrine|8163
1440003|dexchlorpheniramine|22697
1440065|Camphor|1952
1440065|Capsaicin|1992
1440065|methyl salicylate|29787
1440181|Petrolatum|8091
1440183|Ethinyl Estradiol|4124
1440183|Norethindrone|7514
1440183|Ferrous fumarate|24941
1440184|Hydrocortisone|5492
1440185|Ethinyl Estradiol|4124
1440185|Levonorgestrel|6373
1440861|Cholic Acid|1440856
1440868|Cholic Acid|1440856
1440869|Methenamine|6832
1440869|Methylene blue|6878
1440869|phenyl salicylate|36122
1440869|Hyoscyamine|153970
1440869|Sodium Phosphate, Monobasic|235496
1440875|Methenamine|6832
1440875|Methylene blue|6878
1440875|phenyl salicylate|36122
1440875|Hyoscyamine|153970
1440875|Sodium Phosphate, Monobasic|235496
1440908|Dextromethorphan|3289
1440919|Activated Charcoal|272
1440936|Hydrocortisone|5492
1440937|Ethinyl Estradiol|4124
1440937|Norethindrone|7514
1440937|Ferrous fumarate|24941
1441111|Menthol|6750
1441111|methyl salicylate|29787
1441185|Hydrocortisone|5492
1441339|Melatonin|6711
1441339|Vitamin B6|42954
1441364|Dextromethorphan|3289
1441364|Guaifenesin|5032
1441371|Ascorbic Acid|1151
1441376|Pseudoephedrine|8896
1441376|chlophedianol|21254
1441376|dexbrompheniramine|22696
1441383|Inulin|5924
1441383|Bacillus coagulans|1310844
1441392|Estrogens, Conjugated (USP)|4099
1441392|bazedoxifene|1441386
1441402|Methotrexate|6851
1441407|Methotrexate|6851
1441411|Methotrexate|6851
1441413|Methotrexate|6851
1441416|Methotrexate|6851
1441418|Methotrexate|6851
1441422|Methotrexate|6851
1441424|Methotrexate|6851
1441527|tocilizumab|612865
1441530|tocilizumab|612865
1441553|Aluminum Hydroxide|612
1441565|Digoxin|3407
1441567|Digoxin|3407
1441740|Estrogens, Conjugated (USP)|4099
1441740|bazedoxifene|1441386
1441831|Doxylamine|3642
1441831|Phenylephrine|8163
1441837|Doxylamine|3642
1441837|Phenylephrine|8163
1442079|Sulfacetamide|10169
1442079|Sulfur|10223
1442081|Sulfacetamide|10169
1442081|Sulfur|10223
1442085|Sulfacetamide|10169
1442085|Sulfur|10223
1442087|Allantoin|508
1442092|Allantoin|508
1442116|Diclofenac|3355
1442122|Diclofenac|3355
1442128|Diclofenac|3355
1442130|Diclofenac|3355
1442137|Macitentan|1442132
1442143|Macitentan|1442132
1442145|Sulfacetamide|10169
1442145|Sulfur|10223
1442163|Fenofibrate|8703
1442165|Fenofibrate|8703
1442168|Fenofibrate|8703
1442170|Fenofibrate|8703
1442261|Menthol|6750
1442266|hydroquinone|5509
1442272|hydroquinone|5509
1442274|Lidocaine|6387
1442405|Salicylic Acid|9525
1442407|Camphor|1952
1442407|Menthol|6750
1442407|Eucalyptus oil|59087
1442442|Calcium Carbonate|1897
1442442|Cholecalciferol|2418
1442443|Calcium Carbonate|1897
1442443|Cholecalciferol|2418
1442445|Acetaminophen|161
1442445|Hydrocodone|5489
1442520|Salicylic Acid|9525
1442585|Econazole|3743
1442590|Econazole|3743
1442681|Filgrastim|68442
1442683|Filgrastim|68442
1442693|obinutuzumab|974779
1442698|obinutuzumab|974779
1442723|Colloidal oatmeal|221082
1442790|Morphine|7052
1442848|Hydrocortisone|5492
1442848|Clioquinol|5942
1442871|Hydrocortisone|5492
1442876|Triamcinolone|10759
1442881|Urea|11002
1442980|dimethicone|324072
1442986|Ibrutinib|1442981
1442992|Ibrutinib|1442981
1482507|eslicarbazepine|1482502
1482513|eslicarbazepine|1482502
1482515|eslicarbazepine|1482502
1482517|eslicarbazepine|1482502
1482521|eslicarbazepine|1482502
1482523|eslicarbazepine|1482502
1482525|eslicarbazepine|1482502
1482527|eslicarbazepine|1482502
1482533|Cetirizine|20610
1482684|luliconazole|1482680
1482689|luliconazole|1482680
1482801|simeprevir|1482790
1482807|simeprevir|1482790
1482813|golimumab|819300
1482814|golimumab|819300
1482820|gabapentin|25480
1482821|gabapentin|25480
1482908|posaconazole|282446
1482912|posaconazole|282446
1483141|dimethicone|324072
1483184|Salicylic Acid|9525
1483318|rabeprazole|114979
1483319|rabeprazole|114979
1483329|Acetaminophen|161
1483329|butalbital|19860
1483340|Potassium Chloride|8591
1483549|Estradiol|4083
1483549|drospirenone|11636
1483550|Estradiol|4083
1483550|drospirenone|11636
1483551|Estradiol|4083
1483551|drospirenone|11636
1483552|Estradiol|4083
1483552|drospirenone|11636
1483553|Estradiol|4083
1483553|drospirenone|11636
1483554|Estradiol|4083
1483554|drospirenone|11636
1483558|Ethinyl Estradiol|4124
1483558|Norethindrone|7514
1483558|Ferrous fumarate|24941
1483571|Docusate|82003
1483574|Docusate|82003
1483617|Diphenhydramine|3498
1483624|Methenamine|6832
1483624|Methylene blue|6878
1483624|phenyl salicylate|36122
1483624|Hyoscyamine|153970
1483624|Sodium Phosphate, Monobasic|235496
1483629|Salicylic Acid|9525
1483677|zolmitriptan|135775
1483679|zolmitriptan|135775
1483723|Dextromethorphan|3289
1483726|Dextromethorphan|3289
1483744|Naltrexone|7243
1483746|Naltrexone|7243
1484289|sucroferric oxyhydroxide|1484283
1484296|sucroferric oxyhydroxide|1484283
1484805|Sodium Fluoride|9873
1484879|Acetaminophen|161
1484879|Dextromethorphan|3289
1484879|Guaifenesin|5032
1484879|Phenylephrine|8163
1484901|Acetaminophen|161
1484901|Dextromethorphan|3289
1484901|Doxylamine|3642
1484901|Phenylephrine|8163
1484916|sofosbuvir|1484911
1484922|sofosbuvir|1484911
1484927|Sumatriptan|37418
1484935|sulbutiamine|37317
1484958|factor IX|4249
1484958|factor VII|4254
1484958|factor X|4262
1484958|Protein C|8834
1484958|Protein S|34822
1484958|Prothrombin|1441688
1484963|factor IX|4249
1484963|factor VII|4254
1484963|factor X|4262
1484963|Protein C|8834
1484963|Protein S|34822
1484963|Prothrombin|1441688
1485068|polidocanol|968170
1485070|polidocanol|968170
1485220|dimethicone|324072
1485227|Benzocaine|1399
1485227|Cetylpyridinium|2286
1485227|Menthol|6750
1485332|Ethinyl Estradiol|4124
1485332|Norethindrone|7514
1485531|Ascorbic Acid|1151
1485531|Cholecalciferol|2418
1485531|Folic Acid|4511
1485531|Ferrous fumarate|24941
1485531|tricalcium phosphate|47628
1485531|Docusate|82003
1485531|alpha Tocopherol|237099
1485531|pyridoxine|684879
1485531|doconexent|1006469
1485599|Guaifenesin|5032
1485599|Phenylephrine|8163
1485605|Guaifenesin|5032
1485605|Phenylephrine|8163
1486031|Zinc Oxide|11423
1486140|Dextromethorphan|3289
1486140|Guaifenesin|5032
1486140|Phenylephrine|8163
1486165|Cysteine|3024
1486191|Minocycline|6980
1486197|Ribavirin|9344
1486198|Ribavirin|9344
1486200|Ribavirin|9344
1486202|Ribavirin|9344
1486203|Ribavirin|9344
1486208|Salicylic Acid|9525
1486208|Urea|11002
1486245|Vitamin B 12|11248
1486349|Cholecalciferol|2418
1486452|Ethinyl Estradiol|4124
1486452|Norethindrone|7514
1486452|Ferrous fumarate|24941
1486496|Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain|807219
1486566|Sodium Fluoride|9873
1486572|Sodium Fluoride|9873
1486687|Sapropterin|753340
1486691|Sapropterin|753340
1486801|Ethinyl Estradiol|4124
1486801|Norethindrone|7514
1486801|Ferrous fumarate|24941
1486838|raltegravir|719872
1486841|raltegravir|719872
1486846|Miconazole|6932
1486874|Menthol|6750
1486874|methyl salicylate|29787
1486964|Brompheniramine|1767
1486964|Dextromethorphan|3289
1486964|Phenylephrine|8163
1486977|dapagliflozin|1488564
1486981|dapagliflozin|1488564
1486983|Docusate|82003
1486985|Docusate|82003
1487074|Diclofenac|3355
1487076|Diclofenac|3355
1487086|Ethinyl Estradiol|4124
1487086|Norethindrone|7514
1487218|Sucralfate|10156
1487251|Acetaminophen|161
1487251|Caffeine|1886
1487251|butalbital|19860
1487267|Sodium Fluoride|9873
1487288|Acetaminophen|161
1487288|Oxycodone|7804
1487361|Glatiramer|214582
1487363|Glatiramer|214582
1487369|Dextromethorphan|3289
1487369|Guaifenesin|5032
1487369|Phenylephrine|8163
1487371|Salicylic Acid|9525
1487376|Salicylic Acid|9525
1487498|Ribavirin|9344
1487500|Ribavirin|9344
1487519|vilanterol|1424884
1487519|umeclidinium|1487514
1487524|vilanterol|1424884
1487524|umeclidinium|1487514
1487527|vilanterol|1424884
1487527|umeclidinium|1487514
1487528|vilanterol|1424884
1487528|umeclidinium|1487514
1487607|Salicylic Acid|9525
1487925|Phenylephrine|8163
1487925|pramoxine|34347
1488045|Tretinoin|10753
1488047|Tretinoin|10753
1488053|fexofenadine|87636
1488067|POLYETHYLENE GLYCOL 3350|221147
1488074|Sodium Fluoride|9873
1488218|Diphenhydramine|3498
1488302|factor XIII|4271
1488304|factor XIII|4271
1488353|Cholecalciferol|2418
1488563|Vitamin B 12|11248
1488569|dapagliflozin|1488564
1488574|dapagliflozin|1488564
1488616|Norethindrone|7514
1488616|Leuprolide|42375
1488617|Norethindrone|7514
1488617|Leuprolide|42375
1488618|Norethindrone|7514
1488618|Leuprolide|42375
1488619|Norethindrone|7514
1488619|Leuprolide|42375
